"text","rating","name","placeId","stars"
"This person is not worth your time don't use. And is a crook!!!👿👿👿👿 charged $65 to come out to look at my electrical box to see if everything was in order to have power then charged me $55 for a circuit breaker that was broke!!! AND WAS ASKING FOR THE MONEY BEFORE EVEN STARTED DON'T USE",,"Sally Marquez","ChIJK1qtRngekogR7nlKE6uxl4k","1"
"Tri-States installed several floodlights and ran wires for outlets/overhead lights for our businesses and installed them very quickly. I found them to be extremely helpful in making sure that our lighting needs were met. I would definitely use them again!",,"Brad Dunning","ChIJT7tlcPagkogRObCqIagNJiE","5"
"Great company!! Amazing work, attention to details, and gets the job done.",,"David Harris","ChIJT7tlcPagkogRObCqIagNJiE","5"
"Great",,"Madalynn Bean","ChIJT7tlcPagkogRObCqIagNJiE","5"
"Eric installed a new circuit box and wiring on our home. He was excellent with keeping us informed, showing up when he was scheduled to show up and completed all the work in a timely manner. I am very pleased with all of the work he completed at our home, I would not hesitate to use him again for any electrical needs .",,"Cathy Moore","ChIJ8_qN5pz_x4YRU9muzOrCV6U","5"
"Installation of 200 AMP Service, Electrical Wiring, and Outlets for Ag Barn in Bonifay, FL.

I highly recommend Apgar Electric to deliver services for your electrical needs. Apgar takes pride in their work and clearly outlines the steps needed to resolve a problem in the simplest way possible. Based on their experience, Apgar offered me a unique solution to enhance my system performance beyond my initial request. Finally, Apgar provided service according to my schedule without delays and was very efficient in execution.

Thank you, Apgar; in a rural area experiencing skilled labor shortages and typical long wait times for help, it was refreshing to work with a company that delivered services quickly and professionally.

Dr. Pete Garcia",,"Pete Garcia","ChIJ8_qN5pz_x4YRU9muzOrCV6U","5"
"Great Company.  Can't say enough good things about these guys.  They were prompt, efficient, and kept the site clean.  Did a multi-day job at my home, and always kept me informed as to the job progress.  I already have them booked to do another job at my home.",,"Mary Johnson","ChIJ8_qN5pz_x4YRU9muzOrCV6U","5"
"Very professional, came out quick and got the job done fast. And Very reasonably priced. Would definitely  recommend.",,"piotr szuba","ChIJfzLKhWWrk4gRdB3xH9LUSoM","5"
"Outside meter repair. Had to rehire a real electrician to redo his mess.",,"FD Robinson","ChIJfzLKhWWrk4gRdB3xH9LUSoM","1"
"Quick and reasonable.",,"Julian Miller","ChIJfzLKhWWrk4gRdB3xH9LUSoM","5"
"Buck did a great job wiring our new site in our RV Park, not all electricians can do RV Parks, and thanks for coming after hours when needed.  Anytime day or night he shows up, Thanks again!",,"Linda Marshall","ChIJfzLKhWWrk4gRdB3xH9LUSoM","5"
"Power surge created outlets to become disabled and blown. Older home with bad wiring but all was handled promptly in a good timely matter.",,"Wanda Bryant","ChIJfzLKhWWrk4gRdB3xH9LUSoM","5"
"Installation of Generac Generator.  Buck took care of the entire job including coordinating with power company and gas company and all permits required. Him and his Team did an excellent and professional job.  He always kept us informed on every step of the project.  Highly recommend him for any of your electrical needs.  Wayne/Pamela",,"Wayne Leavins","ChIJfzLKhWWrk4gRdB3xH9LUSoM","5"
"Excellent Electrical Work!!!

Buck is:
•Extremely Knowledgeable,
•Very Professional,
•A Hard Worker,
•Easy to Talk too,
•Had Very Good ideas,
•Very Good rates,
•Stella & Cary also did a great job working with Buck

I will definitely use Buck Electrical again and highly recommend his Services!!!",,"Dennis Ferrari","ChIJfzLKhWWrk4gRdB3xH9LUSoM","5"
"I called several times to get an estimate and he would not return my calls.  When I finally reached him he said he did not have time to go out giving estimates for ""small"" jobs.  He refused to give me an idea of what the cost would be over the phone and hung up on me.  It you have a ""small job""  call someone else.",,"Evan Ogden","ChIJfzLKhWWrk4gRdB3xH9LUSoM","1"
"I have 48 years of experience with contractors. Buck does not keep his word and he has a temper too. He never did provide a receipt that I needed for insurance purposes. Very unprofessional. If you must use him get it in writing first and don't pay until he is completely finished as after you pay him he will not keep his promises.",,"Jim Marlow","ChIJfzLKhWWrk4gRdB3xH9LUSoM","2"
"Absolutely amazing! He knew exactly what was wrong and charged a fair price. From the time he called to the time he fixed the issue was only an hour and a half. This was exceptional on a holiday. Thank you so much!",,"Samantha Westbrook","ChIJfzLKhWWrk4gRdB3xH9LUSoM","5"
"Great company. Called him around 6pm he was fixing our box and weather head the next morning so we could get our power back. Great guy. Highly recommend.",,"Suzanne Gerard","ChIJfzLKhWWrk4gRdB3xH9LUSoM","5"
"Do not use this electrician.  He scheduled 4 times and has yet to show up over a 2 week period.  I'm tired of promises and waiting.",,"Pat Abram Ault","ChIJfzLKhWWrk4gRdB3xH9LUSoM","1"
"Amazing experience. Got us booked quickly, arrived on time, and installed 2 lights and a fan in an hour! His rate was the best by far. Very nice, professional guy.",,"Ashley Boatwright","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
"Flawless and awesome experience!! Kacey at Kent Electrical is nothing short of extraordinary! His expertise and customer service is unmatched, and he went out of his way to ensure the work and job was completely satisfactory. I couldn't be happier with the install of a 250 volt outlet to charge my vehicles. If you're in search of a great electrician and want QUALITY and TOP NOTCH customer service, Kacey is your guy!!",,"Ranbelt","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
"Kacey did assessment of damage caused by fallen tree and emailed the estimate the same day. The power company messed up our scheduled cutoff but he called to advocate on our behalf.  We finally got power company out and he made sure the lineman stayed while he finished the job. Power was restored quickly.  Very professional. We will use Kacey for future service needs.",,"Beth Watson","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
"We needed an emergency repair after a tree took down a power line and ripped the breaker boxes and meter box off the wall. We called Kent Electric, and they came out the same day for a quote, doing the needed repairs the very next day! Kent Electric is top quality service, with affordable pricing!",,"Dennis","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
"Very professional job, great cleanup of the area when job completed.  Really good value for the job.  Would highly recommend for your electrical needs.  Wayne",,"Wayne Leavins","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
"awesome guy. quick to respond, professional, fair pricing, very knowledgeable in the field. I will use him again and again when it comes to electrical. you want the best use Kent's electric.",,"Kathy king","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
,,"monique maggard","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
"Kasey from Kent Electric was amazing! He was fast and persistent in making sure our every need was met. He did everything we needed including whole home new construction wiring and fixture installation. Kasey made our little dream home so welcoming! Will definitely call him for any electrical needs we need in the future!",,"Caleb & Karen Segers","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
"Very professional, prompt, and responsive. Rewired our whole house and wasn't even phased by the scope or complexity. Stuck with the job even when the general contractor up and quit.",,"Jason Neumann","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
"Showed up on time done an excellent job it looks very professional I have never had a Box wired that looks so good, his appearance professional clean. If I have any electrical work done I don't care what it is I will be hiring Kent  electric he did a very good job at a very affordable price. If you could see pictures of his work you would hire nobody else I can use my eyes in the electrical Box and follow every wire to where it goes it's not a jumbled up rats nest, And he had to work in the direct sunlight very hot did not stop work until the job was done, I can't say it enough  good about him, I had never met him until the day he showed up but I will definitely hire him again if I need electrical work. Even took time to explain to my wife how to work the timer I also had him install.",,"Brent Stoker","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
"Professional and trustworthy! I trust Kent Electric to get the job done and to do it CORRECTLY. He is extremely professional and courteous",,"Lauren Maynard","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
,,"Sophie Herrington","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
,,"Jody Clements","ChIJJTrmg8jLk4gR-I7AOmrJ3aU","5"
,,"Akae Hiram","ChIJXQzLwecp7YgRGjvxCpE0mTM","5"
,,"Milton Evans","ChIJXYdHORZN7YgRZGfadynktQ8","5"
,,"Mrbtown300","ChIJHRYoEt4l7YgR6b2HC-IC1XM","5"
,,"Teri Goff","ChIJKe_Ufpu_kogRyjLXwvnfS_A","4"
,,"Alan C","ChIJKe_Ufpu_kogRyjLXwvnfS_A","1"
,,"Tonya Tucker","ChIJKe_Ufpu_kogRyjLXwvnfS_A","5"
,,"Dr. Yangus Bottom Tooth","ChIJKe_Ufpu_kogRyjLXwvnfS_A","5"
"Rv park and moble home trailer park.. with swimming pool.",,"Deanna Schmidt","ChIJKe_Ufpu_kogRyjLXwvnfS_A","5"
,,,"ChIJ9RtgipbZkogRCmRUacOm2hs",
"Amazing work! Would recommend to anyone in need of electrical work.",,"Whitney Bolt","ChIJ5UcZPK2-kogR4I2P6SY3U-E","5"
,,,"ChIJSXFaRO8Y7YgR3StfagO4e50",
,,,"ChIJl9w1R40usYwRBukvT-OPI8k",
"Amazing service!  Extremely professional and did everything by the book.  Took a frightening electrical issue and re-wired my home  to code.",,"Kimberly Smith","ChIJ-VVChiMZ7YgRnOthhi-ngBc","5"
"Mr. Pierce was friendly, professional and prompt for our commercial property. Would give 10 stars if we could.",,"Laura Spurlin","ChIJ-VVChiMZ7YgRnOthhi-ngBc","5"
"I appreciated the quick, professional service they provided.",,"Shannon Turnage","ChIJ-VVChiMZ7YgRnOthhi-ngBc","5"
,,,"ChIJQ4l78ForjIgRtGcDIXmZ9Z8",
,,"Mihir Pradhan","ChIJVVVVVWEqjIgRXI6MrdiIk4g","5"
,,,"ChIJdXmqQ04vjIgReTTb0Y0Z0oQ",
,,,"ChIJS_YPnQiBjogROmRN7Lnp2j4",
"Your employee who parked in the handicapped zone with the disrespectful reply should be fired.",,"Timothy Wert","ChIJq6p61YaUkogRBRsuPlRZM1M","1"
"If I could leave less than one star I would. The employees of this company park in handicapped spots without permits and take advantage of people with disabilities. Unacceptable, do not do business with these people.",,"Calen Santos","ChIJq6p61YaUkogRBRsuPlRZM1M","1"
,,"Bobby Derome","ChIJq6p61YaUkogRBRsuPlRZM1M","5"
"Absolutely the best at what they do",,"Joe Hicks","ChIJq6p61YaUkogRBRsuPlRZM1M","5"
,,"Craig","ChIJq6p61YaUkogRBRsuPlRZM1M","5"
"Reliable, professional and resonalble.
Justin is the guy for all your electrical needs",,"Scott Browder","ChIJV1mTvKibjogREs7BTxvzR7I","5"
,,,"ChIJ1ZgpqqzpuCMR7892KKIHaFI",
"We had two outlets that stopped working and needed our dishwasher removed from an outlet. Brad came out in a timely manner, explained the problems, and fixed them in a flash. The cost was reasonable. We will be calling Bulger Electric for future outdoor lighting and other projects we have in mind and have already discussed them with him.",,"JoJo M3","ChIJmRRVqHaBzWUR6RlksVahvCs","5"
,,,"ChIJndN-CIGvjYgR09xtyPE5MKc",
,,,"ChIJ_Ytk6hzo6yURB-8E0m5oPUQ",
"Phenomenal service and exceptional communication. Great guy and great company! Give them a call!",,"Ben Trickett","ChIJK65QYTldiYgRE7109y4SMGw","5"
,,"Daniela Payant","ChIJK65QYTldiYgRE7109y4SMGw","5"
,,"Jann Ballard Thompson","ChIJK65QYTldiYgRE7109y4SMGw","5"
"such a great team to work with..kind and professional..rewired an entire house for me that was built in 1915 !",,"Jill Bowden","ChIJK65QYTldiYgRE7109y4SMGw","5"
"Phenomenal experience from a season professional. Replaced my 39 year old breaker box, installed an outlet and an EV charger, all on a Saturday. Professional, friendly and thorough. Highly recommended.",,"Kevin Gardner","ChIJK65QYTldiYgRE7109y4SMGw","5"
"John Phillip's came out to my home. He was early, polite, professional, and got the job done in a timely manner. His prices are reasonable. I had an additional electrical panel installed next to the pre-existing panel along with a 220v outlet for a shop compressor. I highly reccomend JP Electric!",,"Adam Dozier","ChIJx8BA5J-tiYgRh_QlAAdhBX0","5"
"I recently did a large home renovation in Birmingham. We rearranged walls, closets and bathrooms. I was the acting GC with no prior experience. Jason was very helpful in achieving the looks we wanted in every space. He installed lighting, vent fans, sconces, outdoor lighting, a new sub panel and a ceiling fan. The lighting in the bathrooms looks incredible. I haven't seen bathrooms that look as good as these. Excellent work.",,"Patrick Fredella","ChIJtaZUNhBeDg0RJexe3P0y2M8","5"
"Jason was absolutely amazing. Prompt, knowledgeable, and just a good dude. He came out on a Saturday because we didn't have hot water and was kind, quick, clean, and affordable. 100% recommended.",,"Sarah Knight","ChIJtaZUNhBeDg0RJexe3P0y2M8","5"
"Jason was fantastic. We had a problem with some of our switches that we couldn't figure out. I called Jason yesterday evening and he was at our house first thing this morning. Excellent work and even better customer service. Highly recommend.",,"Jared Dobbins","ChIJtaZUNhBeDg0RJexe3P0y2M8","5"
